Time,Channel A
(s),(V)

0.00000000,-0.02395703
0.06666670,-0.01983703
0.13333340,-0.02105777
0.20000010,-0.02594073
0.26666680,-0.02014222
0.33333350,-0.02212592
0.40000020,-0.02517777
0.46666690,-0.01998962
0.53333360,-0.02136296
0.60000030,-0.02380444
0.66666700,-0.02059999
0.73333370,-0.02426222
0.80000040,-0.02304148
0.86666710,-0.02121036
0.93333380,-0.02243111
1.00000050,-0.02533036
1.06666720,-0.01861629
1.13333390,-0.02456740
1.20000060,-0.02731407
1.26666730,-0.02578814
1.33333400,-0.02258370
1.40000070,-0.02426222
1.46666740,-0.02029481
1.53333410,-0.02334666
1.60000080,-0.02456740
1.66666750,-0.02044740
1.73333420,-0.02227851
1.80000090,-0.02410962
1.86666760,-0.02304148
1.93333430,-0.02334666
2.00000100,-0.02334666
2.06666770,-0.02304148
2.13333440,-0.02395703
2.20000110,-0.02502518
2.26666780,-0.02395703
2.33333450,-0.02395703
2.40000120,-0.02456740
2.46666790,-0.02136296
2.53333460,-0.02227851
2.60000130,-0.02410962
2.66666800,-0.02029481
2.73333470,-0.02288888
2.80000140,-0.02365185
2.86666810,-0.01922666
2.93333480,-0.02288888
3.00000150,-0.02655110
3.06666820,-0.01861629
3.13333490,-0.02349925
3.20000160,-0.02594073
3.26666830,-0.02121036
3.33333500,-0.02334666
3.40000170,-0.02594073
3.46666840,-0.02288888
3.53333510,-0.02365185
3.60000180,-0.02609333
3.66666850,-0.02258370
3.73333520,-0.02365185
3.80000190,-0.02700888
3.86666860,-0.02044740
3.93333530,-0.02365185
4.00000200,-0.02639851
4.06666870,-0.02380444
4.13333540,-0.02426222
4.20000210,-0.02639851
4.26666880,-0.02121036
4.33333550,-0.02456740
4.40000220,-0.02609333
4.46666890,-0.02121036
4.53333560,-0.02380444
4.60000230,-0.02792444
4.66666900,-0.02212592
4.73333570,-0.02136296
4.80000240,-0.02426222
4.86666910,-0.02182074
4.93333580,-0.02288888
5.00000250,-0.02410962
5.06666920,-0.02121036
5.13333590,-0.02059999
5.20000260,-0.02288888
5.26666930,-0.02090518
5.33333600,-0.02243111
5.40000270,-0.02426222
5.46666940,-0.02304148
5.53333610,-0.02121036
5.60000280,-0.02471999
5.66666950,-0.02349925
5.73333620,-0.02243111
5.80000290,-0.02395703
5.86666960,-0.02243111
5.93333630,-0.02044740
6.00000300,-0.02517777
6.06666970,-0.02288888
6.13333640,-0.01983703
6.20000309,-0.02426222
6.26666979,-0.02136296
6.33333649,-0.01998962
6.40000319,-0.02533036
6.46666989,-0.02182074
6.53333659,-0.02059999
6.60000329,-0.02471999
6.66666999,-0.02227851
6.73333669,-0.02243111
6.80000339,-0.02594073
6.86667009,-0.02136296
6.93333679,-0.02166814
7.00000349,-0.02502518
7.06667019,-0.02288888
7.13333689,-0.02105777
7.20000359,-0.02334666
7.26667029,-0.02288888
7.33333699,-0.02044740
7.40000369,-0.02426222
7.46667039,-0.02227851
7.53333709,-0.02227851
7.60000379,-0.02471999
7.66667049,-0.02349925
7.73333719,-0.02334666
7.80000389,-0.02548296
7.86667059,-0.02471999
7.93333729,-0.02624592
8.00000399,-0.02410962
8.06667069,-0.02456740
8.13333739,-0.02243111
8.20000409,-0.02456740
8.26667079,-0.02624592
8.33333749,-0.02243111
8.40000419,-0.02731407
8.46667089,-0.02410962
8.53333759,-0.02258370
8.60000429,-0.02639851
8.66667099,-0.02548296
8.73333769,-0.01876888
8.80000439,-0.02273629
8.86667109,-0.02471999
8.93333779,-0.02502518
9.00000449,-0.02731407
9.06667119,-0.02365185
9.13333789,-0.02594073
9.20000459,-0.02487259
9.26667129,-0.02533036
9.33333799,-0.02471999
9.40000469,-0.02746666
9.46667139,-0.02517777
9.53333809,-0.02517777
9.60000479,-0.02990814
9.66667149,-0.02533036
9.73333819,-0.02304148
9.80000489,-0.02945036
9.86667159,-0.02716147
9.93333829,-0.02471999
10.00000499,-0.02838221
10.06667169,-0.02609333
10.13333839,-0.02670370
10.20000509,-0.02853481
10.26667179,-0.02639851
10.33333849,-0.02365185
10.40000519,-0.02670370
10.46667189,-0.02716147
10.53333859,-0.02594073
10.60000529,-0.02883999
10.66667199,-0.02822962
10.73333869,-0.02380444
10.80000539,-0.03021332
